CSA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
600001;Head of State;Earl Kemps Long;1933;1964;SC;Popular Figurehead;High;M573001;X
600002;Head of Government;Richard Webster Leche;1933;1964;SC;Naive Optimist;High;M573002;X
600003;Foreign Minister;Ransome Judd Williams;1933;1964;SC;Apologetic Clerk;High;M573003;X
600004;Minister of Armament;Spessard Lindsay Holland;1933;1964;SC;Air Superiority Proponent;Medium;M573004;X
600005;Minister of Security;Paul Burney Johnson Sr.;1933;1964;SC;Silent Lawyer;Medium;M573005;X
600006;Head of Military Intelligence;Robert G. Cherry;1933;1964;SC;Industrial Specialist;Medium;M573006;X
600007;Chief of Staff;William S. Graves;1933;1964;SC;School of Mass Combat;Medium;M573007;X
600008;Chief of Army;Jouett Henry;1921;1932;SC;Elastic Defence Doctrine;Medium;M573008;X
600009;Chief of Navy;Edward I. Bourne;1933;1964;SC;Indirect Approach Doctrine;Medium;M573009;X
600010;Chief of Air Force;Kenneth Walker;1933;1964;SC;Army Aviation Doctrine;Medium;M573010;X
600011;Foreign Minister;Sam Houston Jones;1941;1964;SC;The Cloak N Dagger Schemer;High;M573011;X
600012;Foreign Minister;Clyde Roark Hoey;1942;1964;SC;Biased Intellectual;High;M573012;X
600013;Foreign Minister;Eugene Talmadge;1942;1964;SC;Iron Fisted Brute;High;M573013;X
600014;Foreign Minister;John C.B. Ehringhaus;1943;1964;SC;General Staffer;High;M573014;X
600015;Foreign Minister;James Houston Davies;1945;1964;SC;Ideological Crusader;High;M573015;X
600016;Foreign Minister;Chauncey Sparks;1945;1964;SC;Great Compromiser;High;M573016;X
600017;Minister of Armament;Harry Hill McAllister;1937;1964;SC;Infantry Proponent;Medium;M573017;X
600018;Minister of Armament;David Bibb Graves;1937;1964;SC;laissez-faire capitalist;Medium;M573018;X
600019;Minister of Armament;Carl Bailey;1938;1964;SC;Strategic Air Proponent;Medium;M573019;X
600020;Minister of Armament;Junius M. Futtrell;1939;1964;SC;Resource Industrialist;Medium;M573020;X
600021;Minister of Armament;Colgate W. Darden Jr.;1940;1964;SC;Administrative Genius;Medium;M573021;X
600022;Minister of Armament;Burnett Rhett Maybank;1940;1964;SC;Air to Ground Proponent;Medium;M573022;X
600023;Minister of Armament;Frederick Preston Cone;1941;1964;SC;Air to Sea Proponent;Medium;M573023;X
600024;Minister of Armament;Jim Nance McCord;1942;1964;SC;Military Entrepreneur;Medium;M573024;X
600025;Minister of Armament;Olin DeWitt Johnston;1943;1964;SC;Tank Proponent;Medium;M573025;X
600026;Minister of Armament;Albert B. Chandler;1945;1964;SC;Battle Fleet Proponent;Medium;M573026;X
600027;Minister of Armament;David Sholtz;1946;1964;SC;Submarine Proponent;Medium;M573027;X
600028;Minister of Security;Frank Murray Dixon;1938;1964;SC;Back Stabber;Medium;M573028;X
600029;Minister of Security;James H. Price;1939;1964;SC;Prince of Terror;Medium;M573029;X
600030;Minister of Security;Prentice Cooper;1941;1964;SC;Crime Fighter;Medium;M573030;X
600031;Minister of Security;Millard Fillmore Caldwell Jr.;1943;1964;SC;Man of the People;Medium;M573031;X
600032;Minister of Security;Lloyd Crow Stark;1943;1964;SC;Efficient Sociopath;Medium;M573032;X
600033;Minister of Security;Joseph Melville Broughton;1944;1964;SC;Compassionate Gentleman;Medium;M573033;X
600034;Minister of Security;Forrester C. Donnell;1945;1964;SC;Crooked Kleptocrat;Medium;M573034;X
600035;Head of Military Intelligence;Eurith Dickinson Rivers;1938;1964;SC;Political Specialist;Medium;M573035;X
600036;Head of Military Intelligence;Guy Brasfield Park;1940;1964;SC;Dismal Enigma;Medium;M573036;X
600037;Head of Military Intelligence;Gordon Weaver Browning;1942;1964;SC;Logistics Specialist;Medium;M573037;X
600038;Head of Military Intelligence;Benjamin Travis Laney;1944;1964;SC;Naval Intelligence Specialist;Medium;M573038;X
600039;Head of Military Intelligence;Homer M. Adkins;1945;1964;SC;Technical Specialist;Medium;M573039;X
600040;Chief of Staff;Dennis J. Murphree;1938;1964;SC;School of Psychology;Medium;M573040;X
600041;Chief of Staff;Roscoe Murray;1940;1964;SC;School of Fire Support;Medium;M573041;X
600042;Chief of Staff;William W. Austin;1944;1964;SC;School of Manoeuvre;Medium;M573042;X
600043;Chief of Army;John Polin;1940;1964;SC;Decisive Battle Doctrine;Medium;M573043;X
600044;Chief of Army;Fielding Lewis Wright;1941;1964;SC;Guns and Butter Doctrine;Medium;M573044;X
600045;Chief of Army;John J. Williams;1943;1964;SC;Armoured Spearhead Doctrine;Medium;M573045;X
