UKR;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
545001;Head of State;Nikita Kruschev;1933;1964;ST;Stern Imperialist;High;M518001;X
545002;Head of Government;Lazar Kaganovich;1933;1964;ST;Flamboyant Tough Guy;High;M518002;X
545003;Foreign Minister;Vlas Chubar;1933;1964;ST;Apologetic Clerk;High;M518003;X
545004;Minister of Armament;Mikhail Bondarenko;1933;1964;ST;Planned Economy Proponent;Medium;M518004;X
545005;Minister of Security;Khrystian G. Rakovsky;1933;1964;ST;Efficient Sociopath;Medium;M518005;X
545006;Head of Military Intelligence;Demyan Korotchenko;1933;1964;ST;Logistics Specialist;Medium;M518006;X
545007;Chief of Staff;Oleg Golovnev;1933;1964;ST;School of Manoeuvre;Medium;M518007;X
545008;Chief of Army;Vladimir Strelnikov;1933;1964;ST;Elastic Defence Doctrine;Medium;M518008;X
545009;Chief of Navy;Ivan Isakov;1933;1964;ST;Base Control Doctrine;Medium;M518009;X
545010;Chief of Air Force;Mihai Alaydin;1933;1964;ST;Army Aviation Doctrine;Medium;M518010;X
545011;Head of State;Stepjan Bandera;1933;1964;SD;Die-hard Reformer;High;M518011;X
545012;Head of State;Augustin Voloshyn;1933;1964;SL;Benevolent Gentleman;High;M518012;X
545013;Head of State;Andriy Melnyk;1933;1964;SC;Resigned Generalissimo;High;M518013;X
545015;Head of Government;Yaroslav Stetsko;1933;1964;SD;Political Protege;High;M518015;X
545016;Head of Government;Omelyan Senyk;1933;1964;SL;Corporate Suit;High;M518016;X
545017;Head of Government;Stjepjan Lenkawsky;1933;1964;SC;Naive Optimist;High;M518017;X
545018;Head of Government;Erich Koch;1933;1964;NS;Ambitious Union Boss;High;M518018;X
545019;Foreign Minister;Stanislav Kosior;1933;1964;ST;The Cloak N Dagger Schemer;High;M518019;X
545020;Foreign Minister;Mykola O. Skrypnyk;1933;1964;SD;Ideological Crusader;High;M518020;X
545021;Foreign Minister;Yevhen Konovalets;1933;1964;SD;Iron Fisted Brute;High;M518021;X
545022;Foreign Minister;Yulian Revay;1933;1964;SL;Apologetic Clerk;High;M518022;X
545023;Foreign Minister;Mikola Lebed;1933;1964;SC;The Cloak N Dagger Schemer;High;M518023;X
545024;Foreign Minister;Yurij Linden-Lypa;1933;1964;SC;General Staffer;High;M518024;X
545025;Foreign Minister;Fritz von der Schulenburg;1933;1964;NS;Great Compromiser;High;M518025;X
545026;Foreign Minister;Roland Popeguschiy;1933;1964;NS;Iron Fisted Brute;High;M518026;X
545027;Foreign Minister;Georgij Shilenkov;1933;1964;NS;General Staffer;High;M518027;X
545028;Minister of Armament;Panas P. Lyubchenko;1933;1964;ST;Resource Industrialist;Medium;M518028;X
545029;Minister of Armament;Mikola Sciborsky;1933;1964;ST;Military Entrepreneur;Medium;M518029;X
545030;Minister of Armament;Oleska Hasyn-Tarap;1933;1964;SD;Administrative Genius;Medium;M518030;X
545031;Minister of Armament;Grygory Leonidovych;1933;1964;SL;Infantry Proponent;Medium;M518031;X
