RUS;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
515001;Head of State;Andrei Vlasov;1933;1964;NS;Resigned Generalissimo;High;M4090;X
515002;Head of State;Alexander Kerensky;1933;1964;ML;Die-hard Reformer;High;3030;X
515003;Head of Government;Pyotr Wrangel;1925;1952;PA;Old General;High;3956;X
515004;Head of Government;Garold Graf;1925;1964;PA;Silent Workhorse;High;9314;X
515005;Head of Government;Alexander von Lampe;1925;1967;PA;Old General;High;5628;X
515006;Head of Government;Konstantin Rodzaevsky;1925;1964;NS;Local Tyrant;High;9311;X
515007;Head of Government;Anton Denikin;1925;1947;PA;Old General;High;L500009;X
515008;Head of Government;Lavr Kornilov;1925;1933;PA;Old General;High;L500046;X
515009;Head of Government;Nikolay Avksentiev;1925;1943;SD;Happy Amateur;High;8902;X
515010;Head of Government;Pavel Milyukov;1925;1943;ML;Silent Workhorse;Very High;3054;X
515011;Head of Government;Georgy Zhilenkov;1933;1946;FA;Silent Workhorse;High;M4081;X
515012;Head of Government;Andrei Vlasov;1933;1964;NS;Old General;High;M4090;X
515013;Foreign Minister;Boris Nolde;1925;1948;SL;Apologetic Clerk;High;9204;X
515014;Foreign Minister;Sergey Kotlyarevsky;1925;1939;SL;Great Compromiser;High;9199;X
515015;Foreign Minister;Moisey Adzhemov;1925;1950;SL;The Cloak N Dagger Schemer;High;9207;X
515016;Foreign Minister;Evgeny Balabin;1925;1964;PA;General Staffer;High;9310;X
515017;Foreign Minister;Garold Graf;1925;1964;PA;Great Compromiser;High;9314;X
515018;Foreign Minister;H.H. Andrei;1925;1956;SC;Biased Intellectual;High;4451;X
515019;Foreign Minister;Konstantin Rodzaevsky;1925;1964;FA;Iron Fisted Brute;High;9311;X
515020;Foreign Minister;Alexander Gadd;1925;1964;SL;Great Compromiser;High;9322;X
515021;Foreign Minister;Konstantin Voskoboinik;1925;1964;NS;Ideological Crusader;High;9312;X
515022;Foreign Minister;Nikolay Avksentiev;1925;1943;SD;Apologetic Clerk;High;8902;X
515023;Foreign Minister;Fedor Bogatyrchuk;1933;1964;FA;Iron Fisted Brute;High;9193;X
515024;Foreign Minister;H.H. Andrey Alexandrovich;1940;1980;SC;The Cloak N Dagger Schemer;High;9317;X
515025;Minister of Armament;Petr Yurenev;1925;1943;SL;Resource Industrialist;High;9203;X
515026;Minister of Armament;Mikhail Sabashnikov;1925;1943;SL;Laissez-Faire Capitalist;High;9197;X
515027;Minister of Armament;Vladimir Vernadsky;1925;1945;SL;Theoretical Scientist;High;9200;X
515028;Minister of Armament;Nikanor Savich;1925;1942;SC;Infantry Proponent;High;9205;X
515029;Minister of Armament;Alexey Zaev;1925;1964;SL;Battle Fleet Proponent;High;5701;X
515030;Minister of Armament;Konstantin Voskoboinik;1925;1964;NS;Resource Industrialist;High;9312;X
515031;Minister of Armament;Vyacheslav Baranov;1925;1964;SL;Air Superiority Proponent;High;9319;X
515032;Minister of Armament;Mikhail Meandrov;1933;1964;FA;Tank Proponent;Very High;3027;X
515033;Minister of Armament;Viktor Maltsev;1933;1964;NS;Air to Ground Proponent;High;9195;X
515034;Minister of Armament;Boris Menshagin;1933;1964;NS;Resource Industrialist;High;9196;X
515035;Minister of Armament;Sergey Boldyrev;1933;1964;NS;Tank Proponent;High;9208;X
515036;Minister of Armament;Semyon Bychkov;1940;1964;FA;Air Superiority Proponent;High;9316;X
515037;Minister of Security;Iosif Gessen;1925;1943;SL;Crime Fighter;High;9202;X
515038;Minister of Security;Alexander von Lampe;1925;1967;PA;Back Stabber;High;5628;X
515039;Minister of Security;Konstantin Voskoboinik;1925;1964;NS;Crime Fighter;High;9312;X
515040;Minister of Security;Nikanor Savich;1925;1942;SC;Compassionate Gentleman;High;9205;X
515041;Minister of Security;Viktor Baidalakov;1925;1964;PA;Silent Lawyer;High;9320;X
515042;Minister of Security;Boris Gershun;1925;1959;SL;Crime Fighter;High;9318;X
515043;Minister of Security;Felix Yusopov;1925;1967;PA;Back Stabber;Very High;M4112;X
515044;Minister of Security;Irakli Tsereteli;1925;1959;SL;Silent Lawyer;High;3088;X
515045;Minister of Security;Dmitry Zakutny;1930;1964;NS;Man of the People;High;9315;X
515046;Minister of Security;Vladimir Malyshkin;1933;1964;FA;Back Stabber;Very High;3026;X
515047;Minister of Security;Boris Menshagin;1933;1964;NS;Silent Lawyer;High;9196;X
515048;Minister of Security;Georgy Zhilenkov;1933;1946;FA;Prince of Terror;High;M4081;X
515049;Minister of Security;Pavel Bermondt-Avalov;1933;1964;FA;Back Stabber;Medium;6379;X
515050;Head of Military Intelligence;Nikanor Savich;1925;1942;SC;Technical Specialist;High;9205;X
515051;Head of Military Intelligence;Konstantin Rodzaevsky;1925;1964;FA;Political Specialist;High;9311;X
515052;Head of Military Intelligence;Boris Gershun;1925;1959;SL;Political Specialist;High;9318;X
515053;Head of Military Intelligence;Sergey Bunyachenko;1930;1964;NS;Logistics Specialist;High;9313;X
515054;Head of Military Intelligence;Mikhail Meandrov;1933;1964;FA;Dismal Enigma;Very High;3027;X
515055;Head of Military Intelligence;Ivan Blagoveschensky;1933;1964;NS;Naval Intelligence Specialist;High;9194;X
515056;Head of Military Intelligence;Vladimir Malyshkin;1933;1964;FA;Dismal Enigma;Very High;3026;X
515057;Chief of Staff;Vsevolod Agapeev;1925;1948;PA;School of Manoeuvre;High;9206;X
515058;Chief of Staff;Evgeny Balabin;1925;1964;PA;School of Manoeuvre;High;9310;X
515059;Chief of Staff;Arseny Gulevich;1925;1947;PA;School of Defence;High;9209;X
515060;Chief of Staff;Vladimir Vitkovsky;1925;1978;SC;School of Psychology;High;5581;X
515061;Chief of Staff;Dmitry Zakutny;1930;1964;NS;School of Fire Support;High;9315;X
515062;Chief of Staff;Mikhail Skorodumov;1930;1964;FA;School of Fire Support;High;9321;X
515063;Chief of Staff;Pyotr Krasnov;1930;1964;PA;School of Manoeuvre;Medium;6374;X
515064;Chief of Staff;Andrei Shkuro;1930;1964;PA;School of Psychology;Medium;6372;X
515065;Chief of Staff;Mikhail Meandrov;1933;1964;FA;School of Psychology;Very High;3027;X
515066;Chief of Staff;Fyodor Trukhin;1933;1964;NS;School of Mass Combat;High;M4125;X
515067;Chief of Staff;Andrei Vlasov;1933;1964;NS;School of Fire Support;High;M4090;X
515068;Chief of Staff;Mikhail Bogdanov;1933;1964;FA;School of Manoeuvre;High;9191;X
